run_id,topic,num_participants,hard_blocker,participant_turns,moderator_turns,moderator_ratio,question_density,avg_words_per_turn,repaired_turns,repair_rate,final_support_fraction,outcome_status,final_option,setup_tokens_in,setup_tokens_out,dialogue_tokens_in,dialogue_tokens_out,total_tokens_in,total_tokens_out
20260613_135818_949259,Plan  birthday Parts for Karen,3,False,14,3,0.176,0.0,14.2,2,0.143,1.0,consensus,A,1576,1181,15435,465,17011,1646
20260613_140155_065903,Agree on the best way to spend a free Sunday,3,False,13,3,0.188,0.0,12.8,4,0.308,1.0,consensus,B,1579,1297,15017,433,16596,1730
20260613_142540_133160,Discuss which fictional character would be the worst roommate,3,False,18,4,0.182,0.0,14.4,4,0.222,1.0,consensus,A,1582,1257,20584,638,22166,1895
20260613_143358_023166,Plan a trip,3,False,14,4,0.222,0.071,13.6,10,0.714,10,1.0,consensus,A,688,388,17503,457,18191,845
20260613_143448_753089,ï»¿Decide which board game to play at game night,3,False,15,4,0.211,0.067,13.8,0,0.0,1,1.0,consensus,C,1584,1263,18740,545,20324,1808
